80 Steps to Jonah (1969),"Rooney, Mickey (I)","Conley, Joe","Dale, Fred (I)","Newton, Wayne","Kahane, Jackie","Bacon, James","Schuller, Frank","Cruz, Brandon","Mineo, Sal","Bendixen, Holger","Patrick, Butch","Cross, Dennis","Quinn, Teddy","Hamilton, Don (II)","Pickens, Slim (I)","Denton, Coby","Angustain, Ira","Armstrong, R.G.","Wynn, Keenan","Mathews, Susan","Van Fleet, Jo","Tobin, Michele","Martens, Lilly","Ewing, Diana","Moran, Erin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Tail, An (1986)","Smith, Hal","Ryan, Will (I)","Plummer, Christopher (I)","DeLuise, Dom","Ross, Neil (I)","Finnegan, John (I)","Persoff, Nehemiah","Glasser, Phillip","Kahn, Madeline",Alitzah,"Yohn, Erica","Musick, Pat","Green, Amy (I)","Blore, Cathianne","Bustamante, Laura (II)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Tail: Fievel Goes West, An (1991)","Persoff, Nehemiah","Clarke, Philip L.","Lovitz, Jon","Steffan, Lawrence","Angel, Jack (I)","DeLuise, Dom","Moss, Larry (III)","Watts, Robert (II)","Bara, Fausto","Mailer, Lev","Cleese, John","Tate, David (I)","Glasser, Phillip","Pegram, Nigel","Pinney, Patrick","Stewart, James (I)","Raggio, Lisa","Darling, Jennifer","Yohn, Erica","Lynn, Sherry (I)","Bonta, Vanna","McGowan, Mickie","Cavadini, Cathy","Irving, Amy","Holliday, Annie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Wilderness (1970),"Dubs, Arthur R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy (1981),"Frishman, Brian (I)","LeGault, Lance","Scribner, Ronnie","Hollander, David (I)","Robinson, Chris (I)","Rechenberg, Otto","Newman, Barry (I)","Branton, Alban","Fant, Lou","Burton, Norman",Bumper,"Nolan, Kathleen","O'Brien, Margaret (I)","Benson, Lucille","Jeffory, Dawn","Agutter, Jenny","Fabray, Nanette",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasia (1997),"Kolinski, Joseph","Jellison, John","Gordon, Kyle","Quinn, Patrick (II)","Burtnick, Glen","Simmons, J.K.","Edelman, Gregg","Cummings, Jim (I)","Grammer, Kelsey","Harris Jr., Glenn Walker","Brunetti, Ted","Jones, Rick (I)","Azaria, Hank","Lowenstein, David","de Haas, Darius","Porter, Billy (I)","Dokuchitz, Jonathan","Cusack, John","Fritsch, Al","Nolte, Bill","Harvey, Michael Louis","Sperling, Ted","Malet, Arthur","Blumenkrantz, Jeff","Simms, Frank","Karen, Kenny","Lloyd, Christopher (I)","DuSold, Robert","King Jr., Curtis","Doherty, Madeline","Cherry, Vivian","Almy, Brooks","White, Lillias","Ryan, Meg (I)","Korey, Alix","Callaway, Liz","Lansbury, Angela","Dunst, Kirsten","Thomas, Vanéese Y.","Mizelle, Cindy","Blazer, Judith","Silver, Karen (I)","Clark, Robin (III)","Mooney, Debra","Pawk, Michele","Chabert, Lacey","Martin, Andrea (I)","Horvath, Jan","Peters, Bernadette","Clark, Victoria (I)","James, Charity","Bernfeld, Ellen","Blackwell, Emma","Skinner, Emily (II)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andromeda Strain, The (1971)","Jenkins, Mark (I)","Singer, Reuben","Harris, Ray (III)","Walberg, Garry","Stuart, Gilchrist","Murdock, Kermit","McDonough, Tom (I)","Edmiston, Walker","Lehmann, Theodore","Helm, Peter (I)","Hughes, Rob","Soto, Robert","Rainey, Ford","Christmas, Eric","Fuller, Lance","Swofford, Ken","Hobbs, Peter","Dunbar, Bill","Bow, Michael","Carter, John (IV)","Bull, Richard","Dyrenforth, Harold","Billings, Joe","Crichton, Michael","Hill, Arthur (I)","La Rue, Bart","Parnell, Emory","Langan, Glenn","Ballantyne, Paul","Bieri, Ramon","Barry, Ivor","Wayland, Len","Ortega, Francisco (I)","Mitchell, George (II)","Medaugh, Cliff","Brooke, Walter","Whiteman, Russ","Olson, James","Gavin, James W.","Waynesmith, Gary","Di Reda, Joe","Lee, Johnny (III)","O'Brien, Richard (II)","Wayne, David (I)","Pataki, Michael","McLean, David (I)","Reindel, Carl","Olen, Robert 'Bob'","Johnson, Jason (I)","Cigrang, Duke","Redeker, Quinn K.","Kelly, Paula (I)","Brown, Susan (I)","Burrell, Jan","Platt, Alma","Meyerink, Victoria Paige","Reid, Kate (I)",Midori (I),"Reid, Frances (I)","Carroll, Dee","Swift, Joan","Farrell, Judy","Thayer, Lorna","Daniels, Lisa (I)","de Bruin, Sandra","Schmidt, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel in My Pocket (1969),"Jones, Henry (I)","Nisbet, Stuart","Faye, Herbie","Lieb, Robert P.","Collins, Gary (I)","Fennelly, Parker","Buchanan, Edgar","Barrier, Michael (II)","Checco, Al","Mann, Larry D.","Quillan, Eddie","Foster, Buddy","Franken, Steve","Shea, Christopher (I)","Hastings, Bob (I)","Van Vleet, Richard","Davis, Rufe","Tapps, George","Van Dyke, Jerry","Dodson, Jack","Stone, Leonard","Rubin, Benny","Starke, Todd","Boles, Jim","Griffith, Andy (I)","Minner, Kathryn","Verdugo, Elena","Fax, Jesslyn","Peterson, Maggie","Lorde, Athena","Fields, Lynn","Seaforth Hayes, Susan","Guthrie, Tani","Margetts, Monty","Schwartz, Bonnie Sue","Smale, Amber","Carol, Linda (III)","Besant, Anne","Bacigalupo, Chela","Mondo, Peggy","Bruce, Eve","McDevitt, Ruth","Bryar, Claudia","Hill, Gloria","Meriwether, Lee","Corby, Ellen","Gregory, Mary","Powers, Beverly","Hamilton, Margaret","Albertson, Grace","Medford, Kay","Harmon, Joy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel in Training (1999),"Wheat, Matthew","Weidner, Travis","Stone, Sly","Lyon, Christian (I)","Weidner, Eric","Tunney, Ted T.E.","Goodman, Marco","O'Sullivan, Brian (I)","Wheat, Christian","Binkley, Tyler","Wheat, Bill (I)","Vozza, Thomas","DeVault, Calvin","Imhoff, Gary","Resnick, Stuart","Salvitti, Tom","Davis, Russell (III)","Immel, Graham","Blandon, Billy","Lerner, Craig","Pessis, Danielle","Rokitski, Lucy","Rokitski, Jessica","Roberts, Brianna","Reeves, Brittney","Truitt, Sally","Smith, Julie (I)","Bassett, Tracy","Caouette, Alicia","Dagher, Laila","Reed, Lauren M.","Hink, Jane","Ray, Kim A.","Harris, Hope (I)","Allen, Veronica","Class, Jamie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Crackers (1930),"Allen, Robert (I)","Thompson, Hal (I)","Marx, Groucho","Sorin, Louis","Marx, Harpo","Marx, Chico","Metcalf, Edward","Greig, Robert","MacBride, Donald","Marx, Zeppo","Dumont, Margaret","Irving, Margaret","Roth, Lillian","Roth, Ann (II)","Reece, Kathryn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animals Are Beautiful People (1974),"O'Byrne, Paddy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie (1982),"Flowers, Jamie","Finney, Albert","Richards, Jon (I)","Epper, Kurtis","Holder, Geoffrey","Swofford, Ken","Metzman, Irving","Hobson, I.M.","Marshall, Peter (I)","Collamore, Jerome","Griffin, Victor","Curry, Tim (I)","Herrmann, Edward","Hankin, Larry","Cilento, Wayne","Minami, Roger","Cagno, Frank","Burnett, Carol","Reinking, Ann","Caspary, Tina","Lee, Angela (I)","Smith, Shawnee","Leonard, Lu","O'Rourke, Tammy","Sorrentino, Rosanne","Hartman, Victoria","Lerman, April","Berk, Lara","Ignico, Robin","Quinn, Aileen","Jones, Janet","Mackie, Jan","Ray, Mavis","Baca, Kari","Kieldrup, Lisa","Ackerman, Loni","Saputo, Linda","Blair, Pamela","Miller, Danielle (I)","Sinclair, Nancy (I)","Gisondi, Toni Ann","Whitman, Julie","Peterson, Amanda (I)","Peters, Bernadette","Cross, Murphy",Martika,"Martin, Angela (I)","Haney, Sonja","De Banzie, Lois","Hayden, Melissa (II)","Marsh, Liz (I)","Stewart, Lucie","Zenk-Pinter, Colleen","Michan, Cherie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barefoot in the Park (1967),"Indrisano, John","Redford, Robert (I)","Hartley, Ted","Boyer, Charles (I)","Edelman, Herb","Feld, Fritz","Burns, Paul E.","Stone, James (I)","Roberts, Doris","Albertson, Mabel","Natwick, Mildred","Fonda, Jane","Bird, Billie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barney's Great Adventure (1998),"Hell, Sébastian","West, Bob (IV)","Morgan, Trevor (I)","Holland, Matt (I)","Hearn, George","Sage, B Martin","Foster, Steffen","Taras, Barry","Fawcett, Alan (I)","Ayres, Jeff (I)","Joyner, David (I)","Maclaren, John (I)","Douglas, Shirley","Le Guerrier, Renee Madeline","Wheeler, Jane","Johnson, Julie (I)","Pratt, Kyla (II)","Rice, Diana","Wirtz, Patty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
